%dir,flowInd,flowStat,timeFirst,timeLast,duration,numHdrDesc,numHdrs,hdrDesc,srcMac,dstMac,ethType,ethVlanID,srcIP,srcIPCC,srcIPWho,srcPort,dstIP,dstIPCC,dstIPWho,dstPort,l4Proto,macPairs,srcMac_dstMac_numP,srcManuf_dstManuf,dstPortClassN,dstPortClass,numPktsSnt,numPktsRcvd,numBytesSnt,numBytesRcvd,minPktSz,maxPktSz,avePktSize,stdPktSize,minIAT,maxIAT,aveIAT,stdIAT,pktps,bytps,pktAsm,bytAsm,tcpFStat,ipMindIPID,ipMaxdIPID,ipMinTTL,ipMaxTTL,ipTTLChg,ipTOS,ipFlags,ipOptCnt,ipOptCpCl_Num,ip6OptCntHH_D,ip6OptHH_D,tcpPSeqCnt,tcpSeqSntBytes,tcpSeqFaultCnt,tcpPAckCnt,tcpFlwLssAckRcvdBytes,tcpAckFaultCnt,tcpInitWinSz,tcpAveWinSz,tcpMinWinSz,tcpMaxWinSz,tcpWinSzDwnCnt,tcpWinSzUpCnt,tcpWinSzChgDirCnt,tcpWinSzThRt,tcpFlags,tcpAnomaly,tcpOptPktCnt,tcpOptCnt,tcpOptions,tcpMSS,tcpWS,tcpTmS,tcpTmER,tcpEcI,tcpBtm,tcpSSASAATrip,tcpRTTAckTripMin,tcpRTTAckTripMax,tcpRTTAckTripAve,tcpRTTAckTripJitAve,tcpRTTSseqAA,tcpRTTAckJitAve,tcpStates,icmpStat,icmpTCcnt,icmpBFTypH_TypL_Code,icmpTmGtw,icmpEchoSuccRatio,icmpPFindex,connSip,connDip,connSipDip,connSipDprt,connF
A,9,0x0000000000004000,1560541818.05579,1560541818.05579,0,1,3,sll:ipv4:tcp,b8:6b:23:db:31:83,00:00:00:01:00:06,0x0800,,192.168.42.110,9,Private network,59122,192.168.42.84,9,Private network,24639,6,1,b8:6b:23:db:31:83_00:00:00:01:00:06_1,Toshiba_00:00:00,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0144,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,2097152,2097152,2097152,2097152,0,0,0,0,0x02,0x0000,1,6,0x0000001e,1460,8,0,0,0,0,0,65535,0,0,0,3.5E-05,-1,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2
B,9,0x0000000000004001,1560541818.05582,1560541818.05582,0,1,3,sll:ipv4:tcp,70:5a:0f:92:12:2d,00:04:00:01:00:06,0x0800,,192.168.42.84,9,Private network,24639,192.168.42.110,9,Private network,59122,6,1,70:5a:0f:92:12:2d_00:04:00:01:00:06_1,HewlettP_LexmarkP,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0164,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0x14,0x0004,0,0,0x00000000,0,0,0,0,0,0,3.5E-05,3.5E-05,3.5E-05,3.5E-05,0,3.5E-05,0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1
A,21,0x0000000000004000,1560541818.55509,1560541818.55509,0,1,3,sll:ipv4:tcp,b8:6b:23:db:31:83,00:00:00:01:00:06,0x0800,,192.168.42.110,9,Private network,59122,192.168.42.84,9,Private network,24639,6,1,b8:6b:23:db:31:83_00:00:00:01:00:06_1,Toshiba_00:00:00,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0144,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,0,0x02,0x0000,1,4,0x00000016,1460,0,0,0,0,0,0,65535,0,0,0,3.5E-05,-1,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2
B,21,0x0000000000004001,1560541818.55513,1560541818.55513,0,1,3,sll:ipv4:tcp,70:5a:0f:92:12:2d,00:04:00:01:00:06,0x0800,,192.168.42.84,9,Private network,24639,192.168.42.110,9,Private network,59122,6,1,70:5a:0f:92:12:2d_00:04:00:01:00:06_1,HewlettP_LexmarkP,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0164,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0x14,0x0004,0,0,0x00000000,0,0,0,0,0,0,3.5E-05,3.5E-05,3.5E-05,3.5E-05,0,3.5E-05,0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1
A,24,0x0000000000004000,1560541818.7586,1560541818.7586,0,1,3,sll:ipv4:tcp,b8:6b:23:db:31:83,00:00:00:01:00:06,0x0800,,192.168.42.110,9,Private network,59245,192.168.42.84,9,Private network,24639,6,1,b8:6b:23:db:31:83_00:00:00:01:00:06_1,Toshiba_00:00:00,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0144,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,2097152,2097152,2097152,2097152,0,0,0,0,0x02,0x0000,1,6,0x0000001e,1460,8,0,0,0,0,0,65535,0,0,0,3.9E-05,-1,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2
B,24,0x0000000000004001,1560541818.75863,1560541818.75863,0,1,3,sll:ipv4:tcp,70:5a:0f:92:12:2d,00:04:00:01:00:06,0x0800,,192.168.42.84,9,Private network,24639,192.168.42.110,9,Private network,59245,6,1,70:5a:0f:92:12:2d_00:04:00:01:00:06_1,HewlettP_LexmarkP,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0164,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0x14,0x0004,0,0,0x00000000,0,0,0,0,0,0,3.9E-05,3.9E-05,3.9E-05,3.9E-05,0,3.9E-05,0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1
A,30,0x0000000000004000,1560541819.27269,1560541819.27269,0,1,3,sll:ipv4:tcp,b8:6b:23:db:31:83,00:00:00:01:00:06,0x0800,,192.168.42.110,9,Private network,59245,192.168.42.84,9,Private network,24639,6,1,b8:6b:23:db:31:83_00:00:00:01:00:06_1,Toshiba_00:00:00,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0144,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,2097152,2097152,2097152,2097152,0,0,0,0,0x02,0x0000,1,6,0x0000001e,1460,8,0,0,0,0,0,65535,0,0,0,3.6E-05,-1,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2
B,30,0x0000000000004001,1560541819.27273,1560541819.27273,0,1,3,sll:ipv4:tcp,70:5a:0f:92:12:2d,00:04:00:01:00:06,0x0800,,192.168.42.84,9,Private network,24639,192.168.42.110,9,Private network,59245,6,1,70:5a:0f:92:12:2d_00:04:00:01:00:06_1,HewlettP_LexmarkP,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0164,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0x14,0x0004,0,0,0x00000000,0,0,0,0,0,0,3.6E-05,3.6E-05,3.6E-05,3.6E-05,0,3.6E-05,0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1
A,32,0x0000000000004000,1560541819.77183,1560541819.77183,0,1,3,sll:ipv4:tcp,b8:6b:23:db:31:83,00:00:00:01:00:06,0x0800,,192.168.42.110,9,Private network,59245,192.168.42.84,9,Private network,24639,6,1,b8:6b:23:db:31:83_00:00:00:01:00:06_1,Toshiba_00:00:00,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0144,65535,0,128,128,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,0,0x02,0x0000,1,4,0x00000016,1460,0,0,0,0,0,0,65535,0,0,0,3.6E-05,-1,0x03,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,2,2,2
B,32,0x0000000000004001,1560541819.77186,1560541819.77186,0,1,3,sll:ipv4:tcp,70:5a:0f:92:12:2d,00:04:00:01:00:06,0x0800,,192.168.42.84,9,Private network,24639,192.168.42.110,9,Private network,59245,6,1,70:5a:0f:92:12:2d_00:04:00:01:00:06_1,HewlettP_LexmarkP,24639,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0164,65535,0,64,64,0,0x00,0x0040,0,0x00_0x00000000,0_0,0x00000000_0x00000000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0x14,0x0004,0,0,0x00000000,0,0,0,0,0,0,3.6E-05,3.6E-05,3.6E-05,3.6E-05,0,3.6E-05,0,0x43,0x00,0,0x00000000_0x00000000_0x0000,0x00000000,0,0,1,1,1,1,1
