#	3	21062019
# IP CIDR	IP range	CtryWhoCode	ASN	Uncert	Latitude	Longitude	WhoCntry	Org
# Begin IPv6 private address space
::/128	::-::	0x010022f3	0	-1.0	666.000000	666.000000	01	Unspecified
::1/128	::1-::1	0x01001358	0	-1.0	666.000000	666.000000	02	Loopback
::ffff:0:0/96	::ffff:0:0-::ffff:ffff:ffff	0x01001029	0	-1.0	666.000000	666.000000	03	IPv4 mapped
::ffff:0:0:0/96	::ffff:0:0:0-::ffff:0:ffff:ffff	0x0100102a	0	-1.0	666.000000	666.000000	04	IPv4 translated
64:ff9b::/96	64:ff9b::-64:ff9b::ffff:ffff	0x0100102b	0	-1.0	666.000000	666.000000	05	IPv4/6 translation
100::/64	100::-100::ffff:ffff:ffff:ffff	0x010009fe	0	-1.0	666.000000	666.000000	06	Discard prefix
2001::/32	2001::-2001::ffff:ffff:ffff:ffff:ffff:ffff	0x01002063	0	-1.0	666.000000	666.000000	07	Teredo
2001:20::/28	2001:20::-2001:2f:ffff:ffff:ffff:ffff:ffff:ffff	0x010017c9	0	-1.0	666.000000	666.000000	08	ORCHIDv2
2001:db8::/32	2001:db8::-2001:db8:ffff:ffff:ffff:ffff:ffff:ffff	0x010025af	0	-1.0	666.000000	666.000000	09	doc and example source
2002::/16	2002::-2002:ffff:ffff:ffff:ffff:ffff:ffff:ffff	0x0100001b	0	-1.0	666.000000	666.00000	10	6to4 (deprecated)
fc00::/7	fc00::-fdff:ffff:ffff:ffff:ffff:ffff:ffff:ffff	0x01002224	0	-1.0	666.000000	666.000000	11	Unique local
fe80::/10	fe80::-febf:ffff:ffff:ffff:ffff:ffff:ffff:ffff	0x0100131f	0	-1.0	666.000000	666.000000	12	Link-local
ff00::/8	ff00::-ffff:ffff:ffff:ffff:fff:ffff:ffff:ffff	0x01001574	0	-1.0	666.000000	666.000000	13	Multicast
# End IPv6 private address space
2001:1200::/32	2001:1200::-2001:1200:ffff:ffff:ffff:ffff:ffff:ffff	0x9b001f84	0	70.0	17.266670	-91.150000	mx	TOPNET SA de CV
2001:1208::/32	2001:1208::-2001:1208:ffff:ffff:ffff:ffff:ffff:ffff	0x9b002220	0	70.0	19.283330	-99.166670	mx	Uninet S.A. de C.V.
2001:1210::/32	2001:1210::-2001:1210:ffff:ffff:ffff:ffff:ffff:ffff	0x9b002271	0	70.0	20.666670	-103.333330	mx	Universidad de Guadalajara
2001:1218::/32	2001:1218::-2001:1218:ffff:ffff:ffff:ffff:ffff:ffff	0x9b00224d	0	70.0	19.428470	-99.127660	mx	Universidad Nacional Autonoma de Mexico
2001:1220::/32	2001:1220::-2001:1220:ffff:ffff:ffff:ffff:ffff:ffff	0x9b0010ea	0	70.0	25.666670	-100.316670	mx	Instituto Tecnológico y de Estudios Superiores de Monterrey
2001:1228::/32	2001:1228::-2001:1228:ffff:ffff:ffff:ffff:ffff:ffff	0x9b000871	0	70.0	22.533330	-98.150000	mx	Corporacion Universitaria para el Desarrollo de Internet
2001:122c::/32	2001:122c::-2001:122c:ffff:ffff:ffff:ffff:ffff:ffff	0x9b000871	0	70.0	22.533330	-98.150000	mx	Corporacion Universitaria para el Desarrollo de Internet
2001:1230::/32	2001:1230::-2001:1230:ffff:ffff:ffff:ffff:ffff:ffff	0x9b000fbb	0	70.0	19.283330	-99.166670	mx	INFOTEC Centro de Investigacion e Innovacion en Tecnologias de la Informacion y Comunicación
2001:1238::/32	2001:1238::-2001:1238:ffff:ffff:ffff:ffff:ffff:ffff	0x9b001488	0	70.0	19.416670	-97.000000	mx	Maxcom Telecomunicaciones
2001:1240::/32	2001:1240::-2001:1240:ffff:ffff:ffff:ffff:ffff:ffff	0x9b0014f9	0	70.0	25.666670	-100.316670	mx	Micronet de Mexico
2001:1248::/32	2001:1248::-2001:1248:ffff:ffff:ffff:ffff:ffff:ffff	0x9b00019e	0	70.0	25.666670	-100.400000	mx	Alestra
2001:1250::/32	2001:1250::-2001:1250:ffff:ffff:ffff:ffff:ffff:ffff	0x9b0016f8	0	70.0	25.666670	-100.316670	mx	Network Information Center México S.C.
2001:1258::/32	2001:1258::-2001:1258:ffff:ffff:ffff:ffff:ffff:ffff	0x9b0016f8	0	70.0	25.666670	-100.316670	mx	Network Information Center México S.C.
2001:1260::/32	2001:1260::-2001:1260:ffff:ffff:ffff:ffff:ffff:ffff	0x9b0014ed	0	70.0	17.266670	-91.150000	mx	Mexico Red de Telecomunicaciones
2001:1270::/32	2001:1270::-2001:1270:ffff:ffff:ffff:ffff:ffff:ffff	0x9b001d9c	0	70.0	19.355830	-99.301110	mx	Sixsigma Networks Mexico
2001:1278::/32	2001:1278::-2001:1278:ffff:ffff:ffff:ffff:ffff:ffff	0x9b001829	0	70.0	19.833330	-101.083330	mx	Operbes
2001:1280::/32	2001:1280::-2001:1280:ffff:ffff:ffff:ffff:ffff:ffff	0x20001f75	16685	70.0	-23.547500	-46.636110	br	TIVIT TERCEIRIZAÇÃO DE PROCESSOS
2001:1284::/33	2001:1284::-2001:1284:7fff:ffff:ffff:ffff:ffff:ffff	0x200005c7	14868	70.0	-25.427780	-49.273060	br	COPEL Telecomunicações S.A.
2001:1288::/32	2001:1288::-2001:1288:ffff:ffff:ffff:ffff:ffff:ffff	0x20002347	28640	70.0	-23.960830	-46.333610	br	VIPWay Telecomunicações Ltda
2001:128c::/32	2001:128c::-2001:128c:ffff:ffff:ffff:ffff:ffff:ffff	0x20002407	25933	70.0	-23.547500	-46.636110	br	Vogel Soluções em Telecom e Informática S/A
2001:1290::/32	2001:1290::-2001:1290:ffff:ffff:ffff:ffff:ffff:ffff	0x2000008d	16735	70.0	-18.918610	-48.277220	br	ALGAR TELECOM S/A
2001:1294::/32	2001:1294::-2001:1294:ffff:ffff:ffff:ffff:ffff:ffff	0x20002001	28182	70.0	-19.920830	-43.937780	br	TeleSA Telecomunicacoes S.A
2001:1298::/32	2001:1298::-2001:1298:ffff:ffff:ffff:ffff:ffff:ffff	0x20000136	28296	70.0	-21.764170	-43.350280	br	Acessa Telecomunicações Ltda
2001:129c::/32	2001:129c::-2001:129c:ffff:ffff:ffff:ffff:ffff:ffff	0x20000a2b	22356	70.0	-14.466670	-41.800000	br	Durand do Brasil Ltda
2001:12a0::/32	2001:12a0::-2001:12a0:ffff:ffff:ffff:ffff:ffff:ffff	0x20000a83	28292	70.0	-28.677500	-49.369720	br	ENGEPLUS INFORMATICA LTDA
2001:12a4::/32	2001:12a4::-2001:12a4:ffff:ffff:ffff:ffff:ffff:ffff	0x20000f56	28346	70.0	-12.971110	-38.510830	br	IB TELECOMUNICAÇÕES LTDA
2001:12ac::/32	2001:12ac::-2001:12ac:ffff:ffff:ffff:ffff:ffff:ffff	0x20001801	28362	70.0	-19.865280	-47.440000	br	Onda Internet
2001:12b0::/32	2001:12b0::-2001:12b0:ffff:ffff:ffff:ffff:ffff:ffff	0x20001325	28618	70.0	-23.547500	-46.636110	br	Linktel Telecom do Brasil Ltda
2001:12b4::/32	2001:12b4::-2001:12b4:ffff:ffff:ffff:ffff:ffff:ffff	0x2000169d	262983	70.0	-22.739170	-47.331390	br	Net Barretos Tecnologia LTDA - ME
2001:12b8::/32	2001:12b8::-2001:12b8:ffff:ffff:ffff:ffff:ffff:ffff	0x200021db	28347	70.0	-23.547500	-46.636110	br	UNOTEL PARTICIPAÇÕES S/A
2001:12bc::/32	2001:12bc::-2001:12bc:ffff:ffff:ffff:ffff:ffff:ffff	0x20002068	28625	70.0	-23.547500	-46.636110	br	Terremark do Brasil Ltda.
2001:12c0::/32	2001:12c0::-2001:12c0:ffff:ffff:ffff:ffff:ffff:ffff	0x20002065	11706	70.0	-20.763610	-41.533060	br	Terra Networks Brasil S.A.
2001:12c4::/32	2001:12c4::-2001:12c4:ffff:ffff:ffff:ffff:ffff:ffff	0x20000ff3	28262	70.0	-21.750000	-41.300000	br	INTERNEXO LTDA.
2001:12c8::/32	2001:12c8::-2001:12c8:ffff:ffff:ffff:ffff:ffff:ffff	0x200021dc	21911	70.0	-23.547500	-46.636110	br	UOL DIVEO S.A.
2001:12d0::/32	2001:12d0::-2001:12d0:ffff:ffff:ffff:ffff:ffff:ffff	0x200021cc	28571	70.0	-23.547500	-46.636110	br	UNIVERSIDADE DE SAO PAULO
2001:12d8::/32	2001:12d8::-2001:12d8:ffff:ffff:ffff:ffff:ffff:ffff	0x20000c16	1251	70.0	-23.547500	-46.636110	br	FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO
2001:12e0::/32	2001:12e0::-2001:12e0:ffff:ffff:ffff:ffff:ffff:ffff	0x20001f3f	10429	70.0	-23.547500	-46.636110	br	TELEFÔNICA BRASIL S.A
2001:12e8::/32	2001:12e8::-2001:12e8:ffff:ffff:ffff:ffff:ffff:ffff	0x20000a98	16397	70.0	-23.547500	-46.636110	br	EQUINIX BRASIL SP
2001:12f0::/32	2001:12f0::-2001:12f0:ffff:ffff:ffff:ffff:ffff:ffff	0x2000025d	1916	70.0	-22.902780	-43.207500	br	Associação Rede Nacional de Ensino e Pesquisa
2001:12f8:2::/47	2001:12f8:2::-2001:12f8:3:ffff:ffff:ffff:ffff:ffff	0x20001796	12136	70.0	-23.547500	-46.636110	br	Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
2001:12f8::/48	2001:12f8::-2001:12f8:0:ffff:ffff:ffff:ffff:ffff	0x20001796	26162	70.0	-23.547500	-46.636110	br	Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
2001:12fe::/32	2001:12fe::-2001:12fe:ffff:ffff:ffff:ffff:ffff:ffff	0x20001796	11752	70.0	-23.547500	-46.636110	br	Núcleo de Inf. e Coord. do Ponto BR - NIC.BR
2001:1300::/32	2001:1300::-2001:1300:ffff:ffff:ffff:ffff:ffff:ffff	0xac00034c	0	70.0	-12.043333	-77.028333	pe	BT LATAM PERU S.A.C.
2001:1308::/32	2001:1308::-2001:1308:ffff:ffff:ffff:ffff:ffff:ffff	0x3d0007cb	0	70.0	18.500120	-69.988570	do	Compañía Dominicana de Teléfonos
2001:1310::/32	2001:1310::-2001:1310:ffff:ffff:ffff:ffff:ffff:ffff	0x2f001aff	0	70.0	-33.426280	-70.566560	cl	Red Universitaria Nacional
2001:1318::/32	2001:1318::-2001:1318:ffff:ffff:ffff:ffff:ffff:ffff	0x0d000cdd	3597	70.0	-34.613150	-58.377230	ar	Fundación InnovaT
2001:1320::/32	2001:1320::-2001:1320:ffff:ffff:ffff:ffff:ffff:ffff	0xb80006b3	0	70.0	-25.316670	-57.600000	py	Centro Nacional de Computacion
2001:1328::/32	2001:1328::-2001:1328:ffff:ffff:ffff:ffff:ffff:ffff	0xea001d2e	0	70.0	-34.833460	-56.167350	uy	Servicio Central de Informatica
2001:1330::/30	2001:1330::-2001:1333:ffff:ffff:ffff:ffff:ffff:ffff	0x330010df	11830	70.0	9.933330	-84.083330	cr	Instituto Costarricense de Electricidad y Telecom.
2001:1338::/32	2001:1338::-2001:1338:ffff:ffff:ffff:ffff:ffff:ffff	0xee000cdc	0	70.0	10.488010	-66.879190	ve	Fundación Centro Nacional de Innovación Tecnológica
2001:1340::/32	2001:1340::-2001:1340:ffff:ffff:ffff:ffff:ffff:ffff	0x34001af7	0	70.0	23.133020	-82.383040	cu	Red CENIAInternet
2001:1348::/32	2001:1348::-2001:1348:ffff:ffff:ffff:ffff:ffff:ffff	0xea00083c	0	70.0	-34.833460	-56.167350	uy	Cooperación Latino Americana de Redes Avanzadas
2001:1350::/32	2001:1350::-2001:1350:ffff:ffff:ffff:ffff:ffff:ffff	0xee00034d	0	70.0	10.488010	-66.879190	ve	BT LATAM Venezuela
2001:1358::/32	2001:1358::-2001:1358:ffff:ffff:ffff:ffff:ffff:ffff	0x34000b2c	0	70.0	23.133020	-82.383040	cu	Empresa de Telecomunicaciones de Cuba
2001:1360::/32	2001:1360::-2001:1360:ffff:ffff:ffff:ffff:ffff:ffff	0x5b0007a7	52286	70.0	14.640720	-90.513270	gt	Columbus Networks Guatemala
2001:1368::/32	2001:1368::-2001:1368:ffff:ffff:ffff:ffff:ffff:ffff	0xab002269	3551	70.0	8.483330	-81.833300	pa	Universidad Tecnologica de Panama
2001:1370::/32	2001:1370::-2001:1370:ffff:ffff:ffff:ffff:ffff:ffff	0x63001420	0	70.0	18.539170	-72.335000	ht	MULTILINK SA
2001:1378::/32	2001:1378::-2001:1378:ffff:ffff:ffff:ffff:ffff:ffff	0x1f00016a	0	70.0	-16.500000	-68.150000	bo	Ag para el Desarrollo de la Sociedad de la Inf en Bolivia - ADSIB
2001:1380::/32	2001:1380::-2001:1380:ffff:ffff:ffff:ffff:ffff:ffff	0xac0000a4	0	70.0	-12.043333	-77.028333	pe	AMERICATEL PERU S.A.
2001:1388::/32	2001:1388::-2001:1388:ffff:ffff:ffff:ffff:ffff:ffff	0xac002033	0	70.0	-12.043333	-77.028333	pe	Telefonica del Peru S.A.A.
2001:1398::/32	2001:1398::-2001:1398:ffff:ffff:ffff:ffff:ffff:ffff	0x2f001607	0	70.0	-33.426280	-70.566560	cl	NIC Chile
