#	4	01062019
# IP CIDR	Msk	IP range	CtryWhoCode	ASN	Uncert	Latitude	Longitude	WhoCntry	WhoRgn	Org
# Begin IPv4 private address space
0.0.0.0/8	8	0.0.0.0-0.255.255.255	0x01000000	0	-1.0	666.000000	666.000000	00	-	Current network      
10.0.0.0/8	8	10.0.0.0-10.255.255.255	0x01000000	0	-1.0	666.000000	666.000000	01	-	Private network      
127.0.0.0/8	8	127.0.0.0-127.255.255.255	0x01000000	0	-1.0	666.000000	666.000000	02	-	Loopback address      
100.64.0.0/10	10	100.64.0.0-100.127.255.255	0x01000000	0	-1.0	666.000000	666.000000	03	-	Shared address space     
169.254.0.0/16	16	169.254.0.0-169.254.255.255	0x01000000	0	-1.0	666.000000	666.000000	04	-	Link-local address      
172.16.0.0/12	12	172.16.0.0-172.31.255.255	0x01000000	0	-1.0	666.000000	666.000000	05	-	Private network      
192.0.0.0/24	24	192.0.0.0-192.0.0.255	0x01000000	0	-1.0	666.000000	666.000000	06	-	Private network      
192.0.2.0/24	24	192.0.2.0-192.0.2.255	0x01000000	0	-1.0	666.000000	666.000000	07	-	TEST-NET-1       
192.88.99.0/24	24	192.88.99.0-192.88.99.255	0x01000000	0	-1.0	666.000000	666.000000	08	-	IPv6 to IPv4 relay
192.168.0.0/16	16	192.168.0.0-192.168.255.255	0x01000000	0	-1.0	666.000000	666.000000	09	-	Private network      
198.18.0.0/15	15	198.18.0.0-198.119.255.255	0x01000000	0	-1.0	666.000000	666.000000	10	-	Private network      
198.51.100.0/16	16	198.51.100.0-198.51.100.255	0x01000000	0	-1.0	666.000000	666.000000	11	-	TEST-NET-2       
203.0.113.0/24	24	203.0.113.0-203.0.113.255	0x01000000	0	-1.0	666.000000	666.000000	12	-	TEST-NET-3       
224.0.0.0/4	4	224.0.0.0-239.255.255.255	0x01000000	0	-1.0	666.000000	666.000000	13	-	Multicast       
240.0.0.0/4	4	240.0.0.0-255.255.255.254	0x01000000	0	-1.0	666.000000	666.000000	14	-	Reserved       
255.255.255.255/32	32	255.255.255.255-255.255.255.255	0x01000000	0	-1.0	666.000000	666.000000	15	-	Broadcast       
# End IPv4 privat address space
