%num	version	num_ciphers	ciphers[]	num_ext	ext[]	flags	OS	vOS	browser_ver	comment
1	0x0301	11	4,5,a,9,64,62,3,6,13,12,63	1	ff01	0x00	 Windows	Windows-XP	any_MSIE_Safari-on-Windows-XP	 Windows NT 5.1, Windows NT 5.2 (XP)
2	0x0301	11	4,5,a,9,64,62,3,6,13,12,63	0	-	0x00	 Windows	Windows-XP	any_MSIE_Safari-on-Windows-XP	 Windows NT 5.1, Windows NT 5.2 (XP)
3	0x0300	12	4,5,a,9,64,62,3,6,13,12,63,ff	0	-	0x00	 Windows	Windows-XP	any_MSIE_Safari-on-Windows-XP	 with some SSL/TLS options tweaked
4	0x0300	18	4,5,a,10080,700c0,30080,9,60040,64,62,3,6,20080,40080,13,12,63,ff	0	-	0x01	 Windows	Windows-XP	any_MSIE_Safari-on-Windows-XP	 with some SSL/TLS options tweaked
5	0x0002	7	10080,700c0,30080,60040,20080,40080,ff	0	-	0x01	 Windows	Windows-XP	any_MSIE_Safari-on-Windows-XP	 with some SSL/TLS options tweaked
6	0x0301	12	2f,35,5,a,c009,c00a,c013,c014,32,38,13,4	4	?0,a,b,ff01	0x00	 Windows	Windows-Vista	any_MSIE-5.5-6_Chrome-1-4_Safari-on-Windows-Vista	 Windows NT 6.0 (Vista)
7	0x0301	12	2f,35,5,a,c009,c00a,c013,c014,32,38,13,4	5	?0,5,a,b,ff01	0x00	 Windows	Windows-Vista	any_MSIE-7.0-9.0_Chrome-5-on-Windows-Vista	 Windows NT 6.0 (Vista)
8	0x0301	12	2f,35,5,a,c013,c014,c009,c00a,32,38,13,4	5	ff01,?0,5,a,b	0x00	 Windows	Windows-7	MSIE_7-9-on-Windows-7	 Windows NT 6.1 (7)
9	0x0301	12	2f,35,5,a,c013,c014,c009,c00a,32,38,13,4	4	ff01,?0,a,b	0x00	 Windows	Windows-7	Safari_on-Windows-7	 Windows NT 6.1 (7)
10	0x0301	12	2f,35,5,a,c013,c014,c009,c00a,32,38,13,4	6	ff01,?0,5,a,b,23	0x00	 Windows	Windows-8	MSIE_10-on-Windows-8	 23 usually means NT 6.2
11	0x0301	12	2f,35,5,a,c013,c014,c009,c00a,32,38,13,4	5	ff01,?0,a,b,23	0x00	 Windows	Windows-8	Safari_Safari-on-Windows-8	 23 usually means NT 6.2
12	0x0301	11	c00a,c014,88,87,39,38,c00f,*,c003,feff,a	5	?0,ff01,a,b,23	0x20	 Windows,unix	Windows-8	Chrome_6_newer	 Chrome
13	0x0301	11	c00a,c014,88,87,39,38,c00f,*,c003,feff,a	6	?0,ff01,a,b,23,3374	0x20	 Windows,unix	Windows-8	Chrome_6_newer	 Chrome
14	0x0301	11	c00a,c014,88,87,39,38,c00f,*,c003,feff,a	7	?0,ff01,a,b,23,3374,5	0x20	 Windows,unix	Windows-8	Chrome_6_newer	 5 is on on windows
15	0x0300	21	ff,88,87,39,38,84,35,45,44,66,33,32,96,41,4,5,2f,16,13,feff,a	0	-	0x00	 Windows,unix	Windows-8	Chrome_degraded-to-SSLv3.0	 5 is on on windows
