0x0000	Null LSAP
0x0002	Individual LLC Sublayer Mgt
0x0003	Group LLC Sublayer Mgt
0x0004	SNA Path Control
0x0006	Reserved for DoD
0x0018 	Texas Instruments
0x0042 	IEEE 802.1 Bridge Spanning Tree Protocol (STP)
0x004E 	EIA-RS 511
0x005E 	ISI IP
0x007E 	ISO 8208 (X.25 over IEEE 802.2 Type LLC)
0x0080 	Xerox Network Systems (XNS)
0x0086 	Nestar
0x008E 	ProWay-LAN (IEC 955)
0x0098 	ARPANET Address Resolution Protocol (ARP)
0x00a6 	RDE (route determination entity)
0x00aa 	SNAP Extension Used
0x00bc 	Banyan Vines
0x00e0 	Novell Netware
0x00f0 	IBM NetBIOS
0x00f4 	IBM LAN Management
0x00f8 	IBM Remote Program Load (RPL)
0x00fa 	Ungermann-Bass
0x00fe	OSI protocols ISO CLNS IS 8473
0x0101-0x01FF 	Experimental Protocols
0x0105	Multi-Layer-Switching (MLS)
0x010b	Per-VLAN Spanning Tree Protocol (PvSTP)
0x0111 	Unidirectional Link Detection (UDLD)
0x0200 	XEROX PUP
0x0201 	PUP Addr Trans
0x0400 	Nixdorf
0x0600 	XEROX NS IDP - DLOG
0x0661 	DLOG
0x0800 	Internet Protocol version 4 (IPv4)
0x0801 	X.75 Internet
0x0802 	NBS Internet
0x0803 	ECMA Internet
0x0804 	Chaosnet
0x0805 	X.25 Level 3
0x0806 	Address Resolution Protocol (ARP)
0x0807 	XNS Compatability
0x0808 	Frame Relay ARP
0x081C 	Symbolics Private
0x0842 	Wake-on-LAN
0x0888-0x088A 	Xyplex
0x0900 	Ungermann-Bass net debugr
0x0A00 	Xerox IEEE802.3 PUP
0x0A01 	PUP Addr Trans
0x0BAD 	Banyan VINES
0x0BAE 	VINES Loopback
0x0BAF 	VINES Echo
0x1001-0x100F 	Berkeley Trailer encap/IP
0x1600 	Valid Systems
0x2000	Cisco Discovery Protocol (CDP)
0x2004 	Dynamic Trunk Protocol (DTP)
0x200E	Cisco Discovery Protocol (CDP)
0x22F0 	Audio Video Transport Protocol (AVTP)
0x22F3 	IETF TRILL Protocol
0x22F4 	L2-IS-IS
0x4242 	PCS Basic Block Protocol
0x5208 	BBN Simnet
0x6000 	DEC Unassigned (Exp.)
0x6001 	DEC MOP Dump/Load
0x6002 	DEC MOP Remote Console
0x6003 	DEC DECNET Phase IV Route
0x6003 	DECnet Phase IV
0x6004 	DEC LAT
0x6005 	DEC Diagnostic Protocol
0x6006 	DEC Customer Protocol
0x6007 	DEC LAVC, SCA
0x6008-0x6009 	DEC Unassigned
0x6010-0x6014 	3Com Corporation
0x6558 	Trans Ether Bridging
0x6559 	Raw Frame Relay
0x7000 	Ungermann-Bass download
0x7002 	Ungermann-Bass dia/loop
0x7020-0x7029 	LRT
0x7030 	Proteon
0x7034 	Cabletron
0x8003 	Cronus VLN
0x8004 	Cronus Direct
0x8005 	HP Probe
0x8006 	Nestar
0x8008 	AT&T
0x8010 	Excelan
0x8013 	SGI diagnostics
0x8014 	SGI network games
0x8015 	SGI reserved
0x8016 	SGI bounce server
0x8019 	Apollo Domain
0x802E 	Tymshare
0x802F 	Tigan, Inc.
0x8035 	Reverse Address Resolution Protocol (RARP)
0x8036 	Aeonic Systems
0x8038 	DEC LANBridge
0x8039-0x803C 	DEC Unassigned
0x803D 	DEC Ethernet Encryption
0x803E 	DEC Unassigned
0x803F 	DEC LAN Traffic Monitor
0x8040-0x8042 	DEC Unassigned
0x8044 	Planning Research Corp.
0x8046 	AT&T
0x8047 	AT&T
0x8049 	ExperData
0x805B 	Stanford V Kernel exp.
0x805C 	Stanford V Kernel prod.
0x805D 	Evans & Sutherland
0x8060 	Little Machines
0x8062 	Counterpoint Computers
0x8065 	Univ. of Mass. @ Amherst
0x8066 	Univ. of Mass. @ Amherst
0x8067 	Veeco Integrated Auto.
0x8068 	General Dynamics
0x8069 	AT&T
0x806A 	Autophon
0x806C 	ComDesign
0x806D 	Computgraphic Corp.
0x806E-0x8077 	Landmark Graphics Corp.
0x807A 	Matra
0x807B 	Dansk Data Elektronik
0x807C 	Merit Internodal
0x807D-0x807F 	Vitalink Communications
0x8080 	Vitalink TransLAN III
0x8081-0x8083 	Counterpoint Computers
0x809B 	AppleTalk (Ethertalk)
0x809C-0x809E 	Datability
0x809F 	Spider Systems Ltd.
0x80A3 	Nixdorf Computers
